"(5, 0)","{'down': 15, 'right': 15, 'up': 15, 'left': 15}"
"(4, 5)","{'down': -0.4999996783856484, 'right': -0.49999966973450966, 'up': -0.4999996678024261, 'left': -0.4999996844726411}"
"(0, 4)","{'down': -0.4999996473518682, 'right': -0.4999996606552494, 'up': 4.180906649996821, 'left': -0.499999657125749}"
"(5, 5)","{'down': -0.4999996233832351, 'right': -0.49999967643075915, 'up': -0.49999967419734614, 'left': -0.49999967630791303}"
"(1, 4)","{'down': -0.4999996837687285, 'right': -0.4999996578199523, 'up': -0.4999996477129932, 'left': -0.4999996611359423}"
"(6, 0)","{'down': 30, 'right': 30, 'up': 30, 'left': 30}"
"(2, 3)","{'down': -0.49999969733480826, 'right': -0.49999965413495057, 'up': 6.45827268249387, 'left': -0.49999965430832516}"
"(2, 4)","{'down': -0.4999997013615394, 'right': -0.49999967978397486, 'up': -0.4999996607390589, 'left': -0.4999996633116999}"
"(4, 2)","{'down': 15, 'right': 15, 'up': 15, 'left': 15}"
"(1, 0)","{'down': -0.499999055430803, 'right': 5.791772098652446, 'up': -0.4999991082310269, 'left': -0.4999991492188243}"
"(6, 5)","{'down': -0.4999996302168762, 'right': -0.49999962569932876, 'up': -0.4999996251647073, 'left': -0.49999967521301314}"
"(5, 3)","{'down': 15, 'right': 15, 'up': 15, 'left': 15}"
"(0, 1)","{'down': -0.4999993591927115, 'right': -0.4999994082475492, 'up': 8.643578901971413, 'left': -0.4999993970741066}"
"(4, 6)","{'down': -0.49999967865427797, 'right': -0.49999967935351197, 'up': -0.49999968396275746, 'left': -0.49999968556581753}"
"(3, 4)","{'down': -0.4999996872222626, 'right': -0.4999996801441804, 'up': -0.49999967553106556, 'left': -0.4999996825167705}"
"(6, 1)","{'down': 0.026945387363466952, 'right': 0.027146652359009787, 'up': 54.0, 'left': 0.1}"
"(3, 1)","{'down': 13.222958201649535, 'right': 27.403999999929752, 'up': 15, 'left': 15}"
"(0, 6)","{'down': -0.49999973746784565, 'right': -0.4999997411151103, 'up': 2.491886529745185, 'left': -0.49999973588982716}"
"(2, 0)","{'down': -0.4999989549246608, 'right': 2.6523232827346965, 'up': -0.499998917387933, 'left': -0.4999988593713113}"
"(6, 2)","{'down': 15, 'right': 15, 'up': 15, 'left': 15}"
"(4, 3)","{'down': -0.49999967985594496, 'right': -0.4999996752713981, 'up': -0.49999967594761774, 'left': -0.4999996755715074}"
"(0, 5)","{'down': -0.4999996996333536, 'right': -0.49999971027043383, 'up': 3.243421713082107, 'left': -0.49999968059270433}"
"(5, 2)","{'down': -0.49999339777837926, 'right': -0.49999342324098195, 'up': -0.4999933042343876, 'left': 21.82319999945701}"
"(0, 2)","{'down': -0.4999995494960889, 'right': -0.49999945236604737, 'up': 6.814845329073483, 'left': -0.49999948177021614}"
